HELCOM_ID,Year_adj_generated,group_labels,transparency_m
LAT-003,2022,autumn,3.7
SEA-011,1973,spring,4.05555555555556
EST-013,1973,spring,2.23333333333333
EST-018,1973,spring,3.9
EST-019,1973,spring,4.5
EST-018,1973,summer,2.75
SEA-011,1973,summer,2.72222222222222
EST-019,1973,summer,2.5
EST-013,1973,summer,1.66666666666667
LAT-005,1985,spring,2.5
EST-018,1985,spring,9
LAT-005,1985,summer,3
SEA-011,1985,summer,3.89583333333333
EST-018,1985,summer,4
EST-019,1985,summer,4
SEA-011,1999,spring,3.22944444444445
LAT-005,1999,spring,2.17729166666667
LAT-004,1999,spring,2.45555555555556
LAT-003,1999,spring,3.03333333333333
EST-019,1999,spring,3.5
LAT-005,1999,summer,3.22421052631579
LAT-004,1999,summer,3.35833333333333
SEA-011,1999,summer,4.03777777777778
LAT-003,1999,summer,3.53333333333333
EST-019,1999,summer,4.6
LAT-005,1999,autumn,2.74393939393939
LAT-004,1999,autumn,2.63333333333333
SEA-011,1999,autumn,3.79513888888889
LAT-003,1999,autumn,3
LAT-005,2000,winter,2.45
SEA-011,1993,winter,2.88888888888889
LAT-005,1993,winter,2.8
LAT-004,1993,winter,2.5
LAT-005,1993,spring,3.15
LAT-003,1993,spring,3.8
SEA-011,1993,spring,3.17916666666667
LAT-004,1993,spring,2.64444444444444
EST-019,1993,spring,2.5
LAT-004,1993,summer,2.66666666666667
LAT-005,1993,summer,3.03148148148148
SEA-011,1993,summer,2.65714285714286
LAT-003,1993,summer,3
SEA-011,1993,autumn,5.5
LAT-005,1993,autumn,2.5
LAT-004,1993,autumn,2
SEA-011,1994,winter,4
LAT-005,1994,winter,2.75
SEA-011,1982,summer,5.625
EST-019,1982,summer,6.5
LAT-004,2005,winter,2.5
LAT-005,2005,spring,1.33571428571429
LAT-003,2005,spring,2.4125
SEA-011,2005,spring,2.75384615384615
LAT-004,2005,spring,1.89285714285714
SEA-011,2005,summer,3.01538461538462
LAT-004,2005,summer,2.25
LAT-005,2005,summer,2.21538461538462
LAT-003,2005,summer,3.075
LAT-005,2005,autumn,2.63333333333333
SEA-011,2005,autumn,2.15
LAT-003,2005,autumn,2.2
SEA-011,2006,winter,2.26
LAT-004,2006,winter,1.9
LAT-005,2006,winter,2.08333333333333
LAT-005,2019,spring,1.81481481481481
SEA-011,2019,spring,2.21111111111111
LAT-003,2019,spring,2.23333333333333
LAT-004,2019,spring,2.1
LAT-005,2019,summer,2.33333333333333
SEA-011,2019,summer,2.5
LAT-005,2019,autumn,3.175
LAT-004,2019,autumn,3.625
LAT-005,2020,winter,2.25
LAT-003,2020,winter,2.5
LAT-004,2020,winter,3
SEA-011,2020,winter,2.9
